,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,QDA@Asian-Pac-Islander,LogisticRegression@Black,SVC_Linear@Black,SGD_Logistic@Black,SVC_RBF@Black,GaussianNB@Black,RandomForest@Black,DecisionTree@Black,QDA@Black,LogisticRegression@Other,SVC_Linear@Other,SGD_Logistic@Other,SVC_RBF@Other,GaussianNB@Other,RandomForest@Other,DecisionTree@Other,QDA@Other,LogisticRegression@White,SVC_Linear@White,SGD_Logistic@White,SVC_RBF@White,GaussianNB@White,RandomForest@White,DecisionTree@White,QDA@White
SGD_Logistic@Asian-Pac-Islander,0.682,0.682,0.182,0.647,0.271,0.545,0.356,0.552,0.823,0.81,1.0,0.644,0.208,0.654,0.419,0.722,0.616,0.609,0.636,0.534,0.184,0.616,0.508,0.562,0.695,0.649,0.227,0.558,0.261,0.65,0.306,0.246,0.719,0.673,0.715,0.566,0.323,0.61,0.413,0.599
SVC_RBF@Asian-Pac-Islander,0.781,0.721,0.595,0.707,0.379,0.801,0.476,0.444,0.903,0.891,0.644,1.0,0.234,0.917,0.644,0.914,0.912,0.903,0.9,0.914,0.321,0.907,0.469,0.843,0.735,0.605,0.231,0.632,0.301,0.716,0.361,0.136,0.938,0.893,0.932,0.949,0.363,0.893,0.706,0.876
GaussianNB@Asian-Pac-Islander,0.225,0.222,0.194,0.181,0.302,0.267,0.131,0.07,0.284,0.289,0.208,0.234,1.0,0.247,0.157,0.257,0.268,0.261,0.235,0.213,0.354,0.244,0.099,0.27,0.214,0.184,0.113,0.15,0.29,0.195,0.1,0.03,0.293,0.311,0.282,0.205,0.215,0.271,0.229,0.267
RandomForest@Asian-Pac-Islander,0.681,0.634,0.547,0.641,0.353,0.744,0.464,0.412,0.889,0.859,0.654,0.917,0.247,1.0,0.662,0.857,0.855,0.836,0.812,0.823,0.342,0.865,0.469,0.774,0.718,0.612,0.254,0.597,0.277,0.692,0.349,0.125,0.886,0.843,0.876,0.836,0.383,0.842,0.651,0.804
DecisionTree@Asian-Pac-Islander,0.408,0.383,0.432,0.363,0.115,0.476,0.295,0.304,0.605,0.613,0.419,0.644,0.157,0.662,1.0,0.542,0.546,0.514,0.498,0.521,0.188,0.559,0.267,0.455,0.536,0.483,0.276,0.395,0.23,0.503,0.235,0.133,0.582,0.584,0.549,0.553,0.282,0.493,0.413,0.47
QDA@Asian-Pac-Islander,0.814,0.757,0.56,0.742,0.392,0.772,0.44,0.396,0.899,0.876,0.722,0.914,0.257,0.857,0.542,1.0,0.902,0.89,0.904,0.831,0.341,0.853,0.465,0.9,0.758,0.625,0.172,0.648,0.306,0.737,0.336,0.172,0.924,0.849,0.938,0.863,0.346,0.86,0.639,0.922
LogisticRegression@Black,0.811,0.762,0.65,0.73,0.498,0.833,0.488,0.444,0.896,0.865,0.616,0.912,0.268,0.855,0.546,0.902,1.0,0.985,0.969,0.947,0.349,0.943,0.488,0.93,0.839,0.684,0.262,0.685,0.262,0.772,0.392,0.199,0.948,0.869,0.953,0.92,0.311,0.897,0.671,0.899
SVC_Linear@Black,0.85,0.799,0.64,0.777,0.501,0.857,0.539,0.478,0.885,0.863,0.609,0.903,0.261,0.836,0.514,0.89,0.985,1.0,0.966,0.94,0.339,0.928,0.485,0.925,0.817,0.68,0.255,0.694,0.254,0.781,0.419,0.216,0.947,0.876,0.951,0.921,0.316,0.893,0.674,0.902
SGD_Logistic@Black,0.876,0.841,0.611,0.799,0.474,0.836,0.517,0.489,0.874,0.853,0.636,0.9,0.235,0.812,0.498,0.904,0.969,0.966,1.0,0.924,0.313,0.902,0.494,0.908,0.797,0.65,0.156,0.686,0.206,0.777,0.377,0.217,0.919,0.834,0.937,0.916,0.312,0.874,0.651,0.902
SVC_RBF@Black,0.783,0.723,0.692,0.706,0.488,0.842,0.472,0.421,0.829,0.806,0.534,0.914,0.213,0.823,0.521,0.831,0.947,0.94,0.924,1.0,0.303,0.943,0.385,0.901,0.769,0.611,0.275,0.68,0.259,0.746,0.427,0.156,0.91,0.861,0.91,0.952,0.281,0.88,0.669,0.88
GaussianNB@Black,0.27,0.241,0.168,0.199,0.228,0.315,0.158,0.007,0.31,0.303,0.184,0.321,0.354,0.342,0.188,0.341,0.349,0.339,0.313,0.303,1.0,0.319,0.248,0.353,0.241,0.149,-0.003,0.156,0.145,0.234,0.09,0.052,0.374,0.344,0.374,0.31,0.296,0.357,0.341,0.373
RandomForest@Black,0.786,0.732,0.677,0.706,0.47,0.864,0.454,0.43,0.879,0.851,0.616,0.907,0.244,0.865,0.559,0.853,0.943,0.928,0.902,0.943,0.319,1.0,0.513,0.899,0.814,0.676,0.292,0.705,0.286,0.786,0.448,0.153,0.937,0.888,0.932,0.921,0.298,0.89,0.684,0.877
DecisionTree@Black,0.432,0.432,0.09,0.423,0.189,0.358,0.246,0.389,0.535,0.519,0.508,0.469,0.099,0.469,0.267,0.465,0.488,0.485,0.494,0.385,0.248,0.513,1.0,0.386,0.481,0.449,-0.057,0.337,0.09,0.449,0.339,0.171,0.506,0.44,0.51,0.456,0.236,0.499,0.499,0.395
QDA@Black,0.817,0.743,0.677,0.71,0.504,0.835,0.446,0.327,0.811,0.779,0.562,0.843,0.27,0.774,0.455,0.9,0.93,0.925,0.908,0.901,0.353,0.899,0.386,1.0,0.732,0.56,0.197,0.631,0.254,0.706,0.335,0.142,0.909,0.849,0.925,0.865,0.293,0.847,0.611,0.953
LogisticRegression@Other,0.67,0.669,0.526,0.628,0.43,0.699,0.437,0.592,0.857,0.836,0.695,0.735,0.214,0.718,0.536,0.758,0.839,0.817,0.797,0.769,0.241,0.814,0.481,0.732,1.0,0.924,0.503,0.8,0.291,0.822,0.427,0.321,0.812,0.739,0.8,0.725,0.272,0.72,0.479,0.697
SVC_Linear@Other,0.6,0.642,0.465,0.599,0.329,0.61,0.449,0.697,0.756,0.766,0.649,0.605,0.184,0.612,0.483,0.625,0.684,0.68,0.65,0.611,0.149,0.676,0.449,0.56,0.924,1.0,0.568,0.842,0.252,0.768,0.519,0.489,0.683,0.631,0.657,0.578,0.267,0.583,0.394,0.536
SGD_Logistic@Other,0.078,0.099,0.27,0.102,0.253,0.208,0.058,0.184,0.338,0.335,0.227,0.231,0.113,0.254,0.276,0.172,0.262,0.255,0.156,0.275,-0.003,0.292,-0.057,0.197,0.503,0.568,1.0,0.401,0.29,0.32,0.237,0.177,0.28,0.275,0.238,0.209,0.096,0.257,0.073,0.185
SVC_RBF@Other,0.689,0.68,0.598,0.648,0.322,0.684,0.467,0.577,0.69,0.685,0.558,0.632,0.15,0.597,0.395,0.648,0.685,0.694,0.686,0.68,0.156,0.705,0.337,0.631,0.8,0.842,0.401,1.0,0.181,0.808,0.659,0.456,0.67,0.609,0.672,0.644,0.214,0.625,0.423,0.635
GaussianNB@Other,0.157,0.105,0.182,0.153,0.217,0.245,0.095,0.1,0.324,0.319,0.261,0.301,0.29,0.277,0.23,0.306,0.262,0.254,0.206,0.259,0.145,0.286,0.09,0.254,0.291,0.252,0.29,0.181,1.0,0.276,0.081,-0.115,0.319,0.282,0.315,0.294,0.085,0.32,0.27,0.308
RandomForest@Other,0.772,0.751,0.541,0.741,0.388,0.742,0.451,0.538,0.788,0.79,0.65,0.716,0.195,0.692,0.503,0.737,0.772,0.781,0.777,0.746,0.234,0.786,0.449,0.706,0.822,0.768,0.32,0.808,0.276,1.0,0.549,0.109,0.754,0.683,0.753,0.711,0.269,0.705,0.501,0.685
DecisionTree@Other,0.39,0.409,0.384,0.489,0.137,0.411,0.223,0.384,0.384,0.414,0.306,0.361,0.1,0.349,0.235,0.336,0.392,0.419,0.377,0.427,0.09,0.448,0.339,0.335,0.427,0.519,0.237,0.659,0.081,0.549,1.0,0.302,0.415,0.392,0.394,0.432,0.097,0.391,0.303,0.334
QDA@Other,0.245,0.319,0.161,0.131,0.1,0.159,0.231,0.438,0.24,0.263,0.246,0.136,0.03,0.125,0.133,0.172,0.199,0.216,0.217,0.156,0.052,0.153,0.171,0.142,0.321,0.489,0.177,0.456,-0.115,0.109,0.302,1.0,0.21,0.188,0.199,0.147,0.071,0.125,0.133,0.15
LogisticRegression@White,0.832,0.776,0.598,0.747,0.431,0.849,0.462,0.47,0.932,0.906,0.719,0.938,0.293,0.886,0.582,0.924,0.948,0.947,0.919,0.91,0.374,0.937,0.506,0.909,0.812,0.683,0.28,0.67,0.319,0.754,0.415,0.21,1.0,0.959,0.993,0.932,0.378,0.921,0.699,0.929
SVC_Linear@White,0.789,0.733,0.601,0.711,0.314,0.842,0.427,0.426,0.883,0.871,0.673,0.893,0.311,0.843,0.584,0.849,0.869,0.876,0.834,0.861,0.344,0.888,0.44,0.849,0.739,0.631,0.275,0.609,0.282,0.683,0.392,0.188,0.959,1.0,0.933,0.883,0.413,0.847,0.622,0.862
SGD_Logistic@White,0.85,0.787,0.588,0.761,0.464,0.849,0.463,0.452,0.924,0.89,0.715,0.932,0.282,0.876,0.549,0.938,0.953,0.951,0.937,0.91,0.374,0.932,0.51,0.925,0.8,0.657,0.238,0.672,0.315,0.753,0.394,0.199,0.993,0.933,1.0,0.934,0.373,0.931,0.709,0.949
SVC_RBF@White,0.782,0.721,0.633,0.713,0.418,0.83,0.463,0.431,0.843,0.829,0.566,0.949,0.205,0.836,0.553,0.863,0.92,0.921,0.916,0.952,0.31,0.921,0.456,0.865,0.725,0.578,0.209,0.644,0.294,0.711,0.432,0.147,0.932,0.883,0.934,1.0,0.316,0.918,0.713,0.899
GaussianNB@White,0.312,0.276,0.195,0.283,0.219,0.305,0.309,0.164,0.411,0.423,0.323,0.363,0.215,0.383,0.282,0.346,0.311,0.316,0.312,0.281,0.296,0.298,0.236,0.293,0.272,0.267,0.096,0.214,0.085,0.269,0.097,0.071,0.378,0.413,0.373,0.316,1.0,0.353,0.288,0.329
RandomForest@White,0.758,0.697,0.564,0.702,0.478,0.807,0.41,0.407,0.847,0.813,0.61,0.893,0.271,0.842,0.493,0.86,0.897,0.893,0.874,0.88,0.357,0.89,0.499,0.847,0.72,0.583,0.257,0.625,0.32,0.705,0.391,0.125,0.921,0.847,0.931,0.918,0.353,1.0,0.779,0.891
DecisionTree@White,0.559,0.513,0.357,0.512,0.396,0.56,0.24,0.302,0.629,0.607,0.413,0.706,0.229,0.651,0.413,0.639,0.671,0.674,0.651,0.669,0.341,0.684,0.499,0.611,0.479,0.394,0.073,0.423,0.27,0.501,0.303,0.133,0.699,0.622,0.709,0.713,0.288,0.779,1.0,0.661
QDA@White,0.831,0.757,0.646,0.718,0.476,0.843,0.452,0.343,0.821,0.783,0.599,0.876,0.267,0.804,0.47,0.922,0.899,0.902,0.902,0.88,0.373,0.877,0.395,0.953,0.697,0.536,0.185,0.635,0.308,0.685,0.334,0.15,0.929,0.862,0.949,0.899,0.329,0.891,0.661,1.0
