,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,QDA@Asian-Pac-Islander,LogisticRegression@Black,SVC_Linear@Black,SGD_Logistic@Black,SVC_RBF@Black,GaussianNB@Black,RandomForest@Black,DecisionTree@Black,QDA@Black,LogisticRegression@Other,SVC_Linear@Other,SGD_Logistic@Other,SVC_RBF@Other,GaussianNB@Other,RandomForest@Other,DecisionTree@Other,QDA@Other,LogisticRegression@White,SVC_Linear@White,SGD_Logistic@White,SVC_RBF@White,GaussianNB@White,RandomForest@White,DecisionTree@White,QDA@White
SGD_Logistic@Black,0.814,0.759,0.885,0.665,0.515,0.674,0.18,0.584,0.95,0.91,0.737,0.872,0.193,0.82,0.551,0.912,0.981,0.97,1.0,0.977,0.298,0.89,0.637,0.964,0.831,0.826,0.558,0.682,0.357,0.866,0.776,,0.968,0.971,0.959,0.932,0.445,0.833,0.33,0.963
SVC_RBF@Black,0.806,0.755,0.895,0.689,0.509,0.673,0.211,0.585,0.944,0.919,0.782,0.882,0.179,0.823,0.57,0.95,0.969,0.966,0.977,1.0,0.252,0.898,0.671,0.958,0.79,0.792,0.567,0.712,0.302,0.828,0.78,,0.962,0.967,0.948,0.94,0.421,0.867,0.361,0.972
GaussianNB@Black,0.224,0.207,0.196,0.122,0.376,0.169,0.003,0.117,0.322,0.38,0.287,0.227,0.161,0.198,0.286,0.268,0.324,0.325,0.298,0.252,1.0,0.308,0.29,0.319,0.3,0.289,0.185,0.241,0.073,0.309,0.219,,0.279,0.28,0.274,0.231,0.487,0.203,-0.193,0.292
RandomForest@Black,0.636,0.655,0.666,0.562,0.551,0.549,0.176,0.528,0.89,0.831,0.679,0.737,0.1,0.806,0.567,0.878,0.927,0.903,0.89,0.898,0.308,1.0,0.77,0.934,0.896,0.914,0.489,0.755,0.383,0.894,0.567,,0.883,0.849,0.87,0.785,0.41,0.843,0.361,0.893
DecisionTree@Black,0.4,0.443,0.448,0.432,0.265,0.427,0.287,0.381,0.589,0.552,0.478,0.48,-0.008,0.571,0.319,0.639,0.665,0.658,0.637,0.671,0.29,0.77,1.0,0.688,0.653,0.676,0.274,0.672,0.206,0.629,0.361,,0.602,0.578,0.59,0.519,0.169,0.584,0.287,0.655
QDA@Black,0.71,0.664,0.788,0.574,0.566,0.608,0.147,0.485,0.936,0.878,0.682,0.795,0.227,0.811,0.605,0.902,0.986,0.961,0.964,0.958,0.319,0.934,0.688,1.0,0.85,0.825,0.618,0.725,0.432,0.883,0.675,,0.943,0.927,0.936,0.855,0.49,0.832,0.328,0.97
LogisticRegression@Other,0.501,0.475,0.569,0.307,0.479,0.44,0.032,0.303,0.832,0.729,0.571,0.71,0.138,0.72,0.483,0.768,0.846,0.791,0.831,0.79,0.3,0.896,0.653,0.85,1.0,0.914,0.559,0.798,0.506,0.893,0.475,,0.847,0.783,0.864,0.65,0.406,0.725,0.267,0.787
SVC_Linear@Other,0.677,0.707,0.589,0.566,0.439,0.526,0.211,0.592,0.832,0.791,0.628,0.747,0.101,0.755,0.549,0.793,0.836,0.806,0.826,0.792,0.289,0.914,0.676,0.825,0.914,1.0,0.451,0.669,0.503,0.863,0.491,,0.796,0.758,0.791,0.688,0.356,0.774,0.369,0.773
SGD_Logistic@Other,0.274,0.137,0.448,0.093,0.36,0.128,-0.257,-0.042,0.574,0.577,0.285,0.422,0.217,0.334,0.294,0.525,0.606,0.572,0.558,0.567,0.185,0.489,0.274,0.618,0.559,0.451,1.0,0.625,0.499,0.486,0.363,,0.561,0.548,0.578,0.413,0.293,0.332,0.045,0.548
SVC_RBF@Other,0.346,0.272,0.581,0.191,0.341,0.287,-0.138,0.081,0.664,0.621,0.484,0.634,-0.009,0.561,0.323,0.709,0.701,0.634,0.682,0.712,0.241,0.755,0.672,0.725,0.798,0.669,0.625,1.0,0.24,0.683,0.472,,0.703,0.646,0.716,0.548,0.287,0.506,0.092,0.672
GaussianNB@Other,0.204,0.163,0.131,-0.012,0.189,0.248,0.13,0.025,0.42,0.396,0.068,0.268,0.297,0.286,0.419,0.271,0.386,0.355,0.357,0.302,0.073,0.383,0.206,0.432,0.506,0.503,0.499,0.24,1.0,0.457,0.048,,0.365,0.335,0.392,0.182,0.157,0.329,-0.025,0.379
RandomForest@Other,0.623,0.583,0.655,0.441,0.455,0.549,0.119,0.423,0.862,0.78,0.564,0.748,0.037,0.788,0.624,0.761,0.89,0.855,0.866,0.828,0.309,0.894,0.629,0.883,0.893,0.863,0.486,0.683,0.457,1.0,0.639,,0.863,0.826,0.87,0.726,0.35,0.831,0.345,0.846
DecisionTree@Other,0.754,0.688,0.895,0.648,0.222,0.562,0.126,0.536,0.696,0.734,0.59,0.795,-0.116,0.658,0.406,0.749,0.71,0.708,0.776,0.78,0.219,0.567,0.361,0.675,0.475,0.491,0.363,0.472,0.048,0.639,1.0,,0.74,0.782,0.726,0.833,0.156,0.615,0.126,0.736
QDA@Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression@White,0.759,0.688,0.853,0.563,0.583,0.71,0.186,0.479,0.976,0.916,0.751,0.88,0.224,0.864,0.616,0.913,0.966,0.954,0.968,0.962,0.279,0.883,0.602,0.943,0.847,0.796,0.561,0.703,0.365,0.863,0.74,,1.0,0.987,0.997,0.927,0.48,0.862,0.273,0.971
SVC_Linear@White,0.813,0.737,0.886,0.633,0.562,0.757,0.237,0.537,0.972,0.935,0.772,0.881,0.197,0.855,0.612,0.908,0.958,0.963,0.971,0.967,0.28,0.849,0.578,0.927,0.783,0.758,0.548,0.646,0.335,0.826,0.782,,0.987,1.0,0.978,0.959,0.475,0.85,0.284,0.967
SGD_Logistic@White,0.734,0.651,0.839,0.513,0.579,0.695,0.16,0.431,0.969,0.897,0.727,0.875,0.234,0.852,0.615,0.897,0.955,0.937,0.959,0.948,0.274,0.87,0.59,0.936,0.864,0.791,0.578,0.716,0.392,0.87,0.726,,0.997,0.978,1.0,0.902,0.478,0.852,0.251,0.96
SVC_RBF@White,0.871,0.825,0.934,0.77,0.487,0.77,0.291,0.678,0.901,0.897,0.804,0.883,0.16,0.834,0.566,0.912,0.898,0.915,0.932,0.94,0.231,0.785,0.519,0.855,0.65,0.688,0.413,0.548,0.182,0.726,0.833,,0.927,0.959,0.902,1.0,0.394,0.812,0.275,0.925
GaussianNB@White,0.373,0.324,0.303,0.221,0.722,0.389,0.158,0.182,0.55,0.522,0.546,0.396,0.505,0.399,0.442,0.429,0.484,0.486,0.445,0.421,0.487,0.41,0.169,0.49,0.406,0.356,0.293,0.287,0.157,0.35,0.156,,0.48,0.475,0.478,0.394,1.0,0.369,0.201,0.474
RandomForest@White,0.753,0.748,0.697,0.636,0.534,0.676,0.294,0.616,0.872,0.826,0.745,0.782,0.17,0.768,0.697,0.828,0.852,0.87,0.833,0.867,0.203,0.843,0.584,0.832,0.725,0.774,0.332,0.506,0.329,0.831,0.615,,0.862,0.85,0.852,0.812,0.369,1.0,0.49,0.878
DecisionTree@White,0.322,0.386,0.182,0.464,0.112,0.196,0.262,0.486,0.313,0.3,0.437,0.272,-0.084,0.255,0.164,0.305,0.366,0.396,0.33,0.361,-0.193,0.361,0.287,0.328,0.267,0.369,0.045,0.092,-0.025,0.345,0.126,,0.273,0.284,0.251,0.275,0.201,0.49,1.0,0.302
QDA@White,0.776,0.721,0.853,0.635,0.562,0.733,0.255,0.537,0.954,0.908,0.744,0.85,0.233,0.862,0.679,0.937,0.972,0.963,0.963,0.972,0.292,0.893,0.655,0.97,0.787,0.773,0.548,0.672,0.379,0.846,0.736,,0.971,0.967,0.96,0.925,0.474,0.878,0.302,1.0
